타임스탬프,What genre of music do you most likely to listen to?(Select 3 ),What kind of fashion style do you like the most? / 가장 좋아하는 패션 스타일은 무엇입니까? (Select 3 / 3가지 선택),What kind of art performances do you like the most? / 가장 좋아하는 공연은 무엇입니까?,What kind of art exhibitions do you like the most? / 가장 좋아하는 전시회는 무엇입니까?
2019. 11. 7 오후 10:34:40,"Pop (팝), Ballad (발라드), Dance (댄스)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Vintage (빈티지룩)",Musicals (뮤지컬),Sculptures (조각)
2019. 11. 7 오후 10:35:49,"Pop (팝), Ballad (발라드), R&B / Soul (R&B/소울)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Dandy (댄디룩)",Musicals (뮤지컬),Art Design (디자인)
2019. 11. 7 오후 10:41:35,"Pop (팝), Rap/ Hip Hop (랩/힙합), R&B / Soul (R&B/소울)","Casual (캐주얼룩), Street (스트릿룩), Chic (시크룩)",Musicals (뮤지컬),Paintings (회화)
2019. 11. 7 오후 10:59:29,"Pop (팝), Rap/ Hip Hop (랩/힙합), R&B / Soul (R&B/소울)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Dandy (댄디룩)",Musicals (뮤지컬),Crafting (공예)
2019. 11. 7 오후 11:26:22,"Pop (팝), Rap/ Hip Hop (랩/힙합), R&B / Soul (R&B/소울)","Casual (캐주얼룩), Athleisure (애스레저룩), Street (스트릿룩)",Dance (댄스),"Paintings (회화), Art Design (디자인)"
2019. 11. 7 오후 11:27:29,"Idol (아이돌), Dance (댄스), Rock / Metal (락/메탈)","Casual (캐주얼룩), Athleisure (애스레저룩), Vintage (빈티지룩)",Dance (댄스),Paintings (회화)
2019. 11. 7 오후 11:33:02,"Pop (팝), Ballad (발라드), R&B / Soul (R&B/소울)","Casual (캐주얼룩), Vintage (빈티지룩), Dandy (댄디룩)",Traditional Art (전통예술),Crafting (공예)
2019. 11. 7 오후 11:37:53,"Pop (팝), Dance (댄스), R&B / Soul (R&B/소울)","Casual (캐주얼룩), Athleisure (애스레저룩), Street (스트릿룩)",Music Performances (음악),"Art Design (디자인), Architecture (건축)"
2019. 11. 7 오후 11:44:47,"Pop (팝), Rap/ Hip Hop (랩/힙합), Indie (인디)","Street (스트릿룩), Vintage (빈티지룩), Chic (시크룩)",Music Performances (음악),Paintings (회화)
2019. 11. 7 오후 11:45:56,"Idol (아이돌), Ballad (발라드), Dance (댄스)","Street (스트릿룩), Vintage (빈티지룩), Chic (시크룩)",Music Performances (음악),"Crafting (공예), Architecture (건축)"
2019. 11. 7 오후 11:46:12,"Pop (팝), Ballad (발라드), R&B / Soul (R&B/소울)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Goth (고스룩)",Theater (연극),"Paintings (회화), Sculptures (조각), Photography (사진), Art Design (디자인), Crafting (공예), Architecture (건축)"
2019. 11. 7 오후 11:46:13,"Pop (팝), Idol (아이돌), Trot (트로트)","Casual (캐주얼룩), Street (스트릿룩), Chic (시크룩)",Music Performances (음악),Photography (사진)
2019. 11. 7 오후 11:46:16,"Pop (팝), Ballad (발라드), R&B / Soul (R&B/소울)","Casual (캐주얼룩), Street (스트릿룩), Chic (시크룩)",Music Performances (음악),Paintings (회화)
2019. 11. 7 오후 11:47:01,"Idol (아이돌), Ballad (발라드), Dance (댄스)","Street (스트릿룩), Vintage (빈티지룩), Chic (시크룩)",Music Performances (음악),Architecture (건축)
2019. 11. 7 오후 11:47:23,"Idol (아이돌), Ballad (발라드), Dance (댄스)","Casual (캐주얼룩), Athleisure (애스레저룩), Street (스트릿룩)",Dance (댄스),Art Design (디자인)
2019. 11. 7 오후 11:48:56,"Pop (팝), Dance (댄스), R&B / Soul (R&B/소울)","Athleisure (애스레저룩), Preppy (프레피룩), Bohemian (보헤미안룩)",Dance (댄스),"Photography (사진), Crafting (공예), Architecture (건축)"
2019. 11. 7 오후 11:49:23,"Pop (팝), Ballad (발라드), R&B / Soul (R&B/소울)","Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Vintage (빈티지룩), Bohemian (보헤미안룩)",Traditional Art (전통예술),Photography (사진)
2019. 11. 7 오후 11:51:24,"Pop (팝), Dance (댄스), Rock / Metal (락/메탈)","Casual (캐주얼룩), Street (스트릿룩), Preppy (프레피룩)",Music Performances (음악),Art Design (디자인)
